ID,Name,Cadre,Reference_Value,Qualification,Subject,Category_of_Subject,Division
HP006801,Shri Pramod Kumar,Himachal Pradesh,0,Graduate,English,Languages and Fine Arts,Second
HP006801,Shri Pramod Kumar,Himachal Pradesh,1,P.G.,English,Languages and Fine Arts,Second
HP006801,Shri Pramod Kumar,Himachal Pradesh,2,P.G.,Public Admn,"Governance, Law and Management",First
HP006803,Shri Hem Chand,Himachal Pradesh,0,Graduate,English,Languages and Fine Arts,Third
HY011600,Ms. Urvashi Gulati,Haryana,0,Graduate,Political Sc.,Social Science and Liberal Arts,First
HY011600,Ms. Urvashi Gulati,Haryana,1,P.G.,Political Sc.,Social Science and Liberal Arts,First
HY011700,Shri Ravinder Nath Prasher,Haryana,0,Graduate,Physics,Natural Sciences,Second
HY011700,Shri Ravinder Nath Prasher,Haryana,1,LL.B.,Law,"Governance, Law and Management",First
HY011700,Shri Ravinder Nath Prasher,Haryana,2,M.B.A.,Public Service,"Governance, Law and Management",First
HY011700,Shri Ravinder Nath Prasher,Haryana,3,P.G.,Economics,Social Science and Liberal Arts,Second
HY011700,Shri Ravinder Nath Prasher,Haryana,4,P.G.,Physics,Natural Sciences,Second
HY011800,Dr. G Prasanna Kumar,Haryana,0,Graduate,Chemistry,Natural Sciences,First
HY011800,Dr. G Prasanna Kumar,Haryana,1,P.G.,Chemistry,Natural Sciences,First
HY011800,Dr. G Prasanna Kumar,Haryana,2,P.G.,Economics,Social Science and Liberal Arts,Third
HY011800,Dr. G Prasanna Kumar,Haryana,3,Ph. D.,Economics,Social Science and Liberal Arts,Ordinary
HY011900,Shri N Bala Baskar,Haryana,0,Graduate,Chemistry,Natural Sciences,First
HY011900,Shri N Bala Baskar,Haryana,1,P.G.,Chemistry,Natural Sciences,Second
HY011900,Shri N Bala Baskar,Haryana,2,P.G.,Finance,Finance,First
HY012000,Shri Hem Chander Disodia,Haryana,0,Graduate,English,Languages and Fine Arts,Second
HY012000,Shri Hem Chander Disodia,Haryana,1,P.G.,Political Sc.,Social Science and Liberal Arts,Second
HY012100,Shri Naresh Gulati,Haryana,0,Certificate,Russian,Languages and Fine Arts,First
HY012100,Shri Naresh Gulati,Haryana,1,Graduate,Chemistry,Natural Sciences,First
HY012100,Shri Naresh Gulati,Haryana,2,P.G.,Chemistry,Natural Sciences,First
HY012101,Shri Yash Pal Raheja,Haryana,0,Graduate,English,Languages and Fine Arts,First
HY012101,Shri Yash Pal Raheja,Haryana,1,Graduate,Law,"Governance, Law and Management",Second
HY012101,Shri Yash Pal Raheja,Haryana,2,P.G.,English,Languages and Fine Arts,Third
JH025600,Ms. Neelam Nath,Jharkhand,0,Graduate,English Lit,Languages and Fine Arts,First
JH025600,Ms. Neelam Nath,Jharkhand,1,P.G.,Political Sc.,Social Science and Liberal Arts,First
JH026100,Shri Narendra Bhagat,Jharkhand,0,Graduate,Botany,Natural Sciences,Second
JH026100,Shri Narendra Bhagat,Jharkhand,1,P.G.,Botany,Natural Sciences,First
JK004900,Shri Ck Ramachandran,Jammu & Kashmir,0,Graduate,Economics,Social Science and Liberal Arts,Second
JK004900,Shri Ck Ramachandran,Jammu & Kashmir,1,P.G.,Economics,Social Science and Liberal Arts,Second
JK004900,Shri Ck Ramachandran,Jammu & Kashmir,2,P.G.,English Lit,Languages and Fine Arts,First
JK005000,Shri Azmer Singh Sidhu,Jammu & Kashmir,0,Graduate,English,Languages and Fine Arts,Third
JK005001,Shri Sa Qay00m,Jammu & Kashmir,0,Graduate,N.A.,N.A.,Ordinary
JK005002,Shri Omar Jan,Jammu & Kashmir,0,Diploma,Intnl.affairs,"Governance, Law and Management",Ordinary
JK005002,Shri Omar Jan,Jammu & Kashmir,1,Graduate,History,Social Science and Liberal Arts,Ordinary
JK005002,Shri Omar Jan,Jammu & Kashmir,2,Graduate,Law,"Governance, Law and Management",Ordinary
JK005002,Shri Omar Jan,Jammu & Kashmir,3,P.G.,History,Social Science and Liberal Arts,Ordinary
KL010600,Shri K J Mathew,Kerala,0,Graduate,English,Languages and Fine Arts,Second
